shader_slot,selector,base_name,render_bucket,slot,uv,hidden,artist_name,semantic_portrait_id,portrait_status,activity,channels,formula_ids,formula_expressions,notes,transport_profile_id
clouds_anim.sps > DetailDensitySampler,clouds_anim.sps,clouds_anim,0,DetailDensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_anim.sps > DetailNormalSampler,clouds_anim.sps,clouds_anim,0,DetailNormalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_anim.sps > DetailDensity2Sampler,clouds_anim.sps,clouds_anim,0,DetailDensity2Sampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_anim.sps > DetailNormal2Sampler,clouds_anim.sps,clouds_anim,0,DetailNormal2Sampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_anim.sps > DepthMapTexSampler,clouds_anim.sps,clouds_anim,0,DepthMapTexSampler,,False,Глубина сцены,SEM_911731C19B6AA369,resolved,active,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",,,"Карта подаётся движком, художник её не рисует.",SKIP_ENGINE_RESOURCE
clouds_animsoft.sps > DensitySampler,clouds_animsoft.sps,clouds_animsoft,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_animsoft.sps > normalSampler,clouds_animsoft.sps,clouds_animsoft,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_animsoft.sps > DetailDensitySampler,clouds_animsoft.sps,clouds_animsoft,0,DetailDensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_animsoft.sps > DetailNormalSampler,clouds_animsoft.sps,clouds_animsoft,0,DetailNormalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_animsoft.sps > DetailDensity2Sampler,clouds_animsoft.sps,clouds_animsoft,0,DetailDensity2Sampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_animsoft.sps > DetailNormal2Sampler,clouds_animsoft.sps,clouds_animsoft,0,DetailNormal2Sampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_animsoft.sps > DepthMapTexSampler,clouds_animsoft.sps,clouds_animsoft,0,DepthMapTexSampler,,False,Глубина сцены,SEM_0B39DAD8B4540CCE,resolved,active,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",F_CLOUD_SOFT,alpha *= saturate((sceneDepth−cloudDepth)/softRange),"Карта подаётся движком, художник её не рисует.",SKIP_ENGINE_RESOURCE
clouds_fast.sps > DensitySampler,clouds_fast.sps,clouds_fast,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_fast.sps > normalSampler,clouds_fast.sps,clouds_fast,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_fog.sps > DensitySampler,clouds_fog.sps,clouds_fog,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_fog.sps > normalSampler,clouds_fog.sps,clouds_fog,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_fog.sps > DepthMapTexSampler,clouds_fog.sps,clouds_fog,0,DepthMapTexSampler,,False,Глубина сцены,SEM_0B39DAD8B4540CCE,resolved,active,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",F_CLOUD_SOFT,alpha *= saturate((sceneDepth−cloudDepth)/softRange),"Карта подаётся движком, художник её не рисует.",SKIP_ENGINE_RESOURCE
clouds_soft.sps > DensitySampler,clouds_soft.sps,clouds_soft,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_soft.sps > normalSampler,clouds_soft.sps,clouds_soft,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_soft.sps > DepthMapTexSampler,clouds_soft.sps,clouds_soft,0,DepthMapTexSampler,,False,Глубина сцены,SEM_0B39DAD8B4540CCE,resolved,active,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",F_CLOUD_SOFT,alpha *= saturate((sceneDepth−cloudDepth)/softRange),"Карта подаётся движком, художник её не рисует.",SKIP_ENGINE_RESOURCE
cutout.sps > DiffuseSampler,cutout.sps,default,3,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
cutout_fence.sps > DiffuseSampler,cutout_fence.sps,cutout_fence,3,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
cutout_fence_normal.sps > DiffuseSampler,cutout_fence_normal.sps,cutout_fence_normal,3,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
cutout_fence_normal.sps > BumpSampler,cutout_fence_normal.sps,cutout_fence_normal,3,BumpSampler,0,False,Карта нормалей,SEM_BC1FC7E4B6D69C43,resolved,active,"{""A"": ""В проверенном normal decode не используется."", ""B"": ""В проверенном normal decode не используется; Z восстанавливается."", ""G"": ""Компонента Y касательного пространства: 2·G−1."", ""R"": ""Компонента X касательного пространства: 2·R−1.""}",F_NORMAL_RG,"q=2·BumpSampler.RG−1; z=sqrt(abs(1−dot(q,q))); N=normalize(T·q.x·b+B·q.y·b+Ngeo·z)",,NORMAL_XY_AUTO
cutout_hard.sps > DiffuseSampler,cutout_hard.sps,cutout_hard,0,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
cutout_spec_tnt.sps > DiffuseSampler,cutout_spec_tnt.sps,spec_tnt,3,DiffuseSampler,0,False,Базовый цвет,SEM_44A8211FFB386091,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA | F_TINT_PALETTE,"T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha",,DIFFUSE_RGBA_AUTO
cutout_spec_tnt.sps > TintPaletteSampler,cutout_spec_tnt.sps,spec_tnt,3,TintPaletteSampler,,False,Палитра оттенков,SEM_5882847584F3EEED,resolved,active,"{""A"": ""В проверенном основном deferred lit-пути не используется."", ""RGB"": ""Палитровый RGB-множитель albedo.""}",F_TINT_PALETTE,"T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB",Координаты формируются из Colour0.B и tintPaletteSelector.X; это не обычная UV-текстура.,PALETTE_RGBA8
cutout_spec_tnt.sps > SpecSampler,cutout_spec_tnt.sps,spec_tnt,3,SpecSampler,0,False,Упакованный specular,SEM_ADCA91AAC8552F7A,resolved,active,"{""A"": ""Линейный falloff/gloss input; умножается на specularFalloffMult."", ""B"": ""Третий скалярный spec-вклад; остаётся линейным."", ""G"": ""Второй скалярный spec-вклад; перед mask возводится в квадрат."", ""R"": ""Первый скалярный spec-вклад; перед mask возводится в квадрат.""}",F_SPEC_PACKED,"Q=(R²,G²,B); I=dot(Q,specMapIntMask)·specularIntensityMult; P=A·specularFalloffMult; n=3·min(P,500)+558·max(P−500,0)",,LINEAR_RGBA_BC3
