semantic_portrait_id,transport_profile_id,activity,member_count,slot_names,channels,formulas,notes,shader_slots
SEM_16B108F68C986D30,LINEAR_R_OR_RG_BC5,active,6,DetailSampler,"{""A"": ""Не используется; detail mask берётся из Spec.A."", ""B"": ""Не используется."", ""G"": ""Компонента Y касательной нормали."", ""R"": ""Одновременно scalar detail sample и tangent normal X.""}",D=.5*Detail(UV*detailSettings.zw)+.5*Detail(UV*detailSettings.zw*3.17); A_detail=SpecSampler.A; M=1-D.r*detailSettings.x*A_detail; Nxy+=D.xy*detailSettings.y*A_detail,PC branch смешивает два sample масштаба 1× и 3.17× по 0.5.,normal_spec_decal_detail.sps > DetailSampler | normal_spec_detail.sps > DetailSampler | normal_spec_detail_dpm.sps > DetailSampler | normal_spec_detail_dpm_tnt.sps > DetailSampler | normal_spec_detail_dpm_vertdecal_tnt.sps > DetailSampler | normal_spec_detail_tnt.sps > DetailSampler
SEM_172D1D6FE0188A91,NORMAL_XY_AUTO,active,2,BumpSampler,"{""A"": ""Height для legacy one-step parallax."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}","Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001) | h=Bump.A*parallaxScaleBias-0.5*parallaxScaleBias; UV'=UV+h*normalize(tangentEye).xy",,parallax.sps > BumpSampler | parallax_specmap.sps > BumpSampler
SEM_1FCA54F6FE69148A,DIFFUSE_RGBA_AUTO,active,2,DiffuseSampler,"{""A"": ""Маска эмиссии и surface alpha; в additive-вариантах также формирует premultiplied source color."", ""RGB"": ""Базовый цвет поверхности. Для TNT дополнительно умножается на RGB выбранной палитры.""}",albedo.RGB = DiffuseSampler.RGB × TintPaletteSampler.RGB | emissive = DiffuseSampler.A × emissiveMultiplier × runtime(gEmissiveScale) | surface_alpha = DiffuseSampler.A × Colour0.A,,emissive_alpha_tnt.sps > DiffuseSampler | emissive_tnt.sps > DiffuseSampler
SEM_21BEBB94C09E2C94,LINEAR_R_OR_RG_BC5,active,4,FlowSampler,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""RG"": ""Двумерное направление течения: flow = RG×2−1.""}",flow = Flow.RG×2−1,,water_river.sps > FlowSampler | water_riverlod.sps > FlowSampler | water_rivershallow.sps > FlowSampler | water_shallow.sps > FlowSampler
SEM_27CF209898C4A274,LINEAR_R_OR_RG_BC5,active,1,FurMaskSampler,"{""GBA"": ""Не читаются."", ""R"": ""Множит shell amount/coverage.""}",,,grass_fur_mask.sps > FurMaskSampler
SEM_29206B3B351A0F2E,DIFFUSE_RGBA_AUTO,active,3,DiffuseSampler,"{""A"": ""Прозрачность материала."", ""RGB"": ""Базовый цвет/цвет частицы.""}",,,gta_radar.sps > DiffuseSampler | ptfx_model.sps > DiffuseSampler | radar.sps > DiffuseSampler
SEM_2B413963EE68B186,TODO_SPECIAL_SPEC_BA,active,4,SpecSampler,"{""A"": ""Линейно задаёт falloff-код P≈10·A, но сухая spec-интенсивность deferred core записывается 0."", ""RGB"": ""Не читается для сухой spec-интенсивности; specMapIntMask также compiler-unused.""}",P≈10·Spec.A; dry I=0,,vehicle_cloth.sps > SpecSampler | vehicle_cloth2.sps > SpecSampler | vehicle_interior.sps > SpecSampler | vehicle_interior2.sps > SpecSampler
SEM_2D79D555B58D8DF6,TODO_SPECIAL_SPEC_BA,active,7,SpecSampler,"{""A"": ""Линейный falloff input фиксированного vehicle-spec пути."", ""RGB"": ""Packed scalar spec: R/G читаются квадратично, B линейно.""}","I≈dot((R²,G²,B),mask)·Colour0.R; A→fixed falloff path",,vehicle_decal.sps > SpecSampler | vehicle_detail2.sps > SpecSampler | vehicle_emissive_alpha.sps > SpecSampler | vehicle_emissive_opaque.sps > SpecSampler | vehicle_lightsemissive.sps > SpecSampler | vehicle_lightsemissive_siren.sps > SpecSampler | vehicle_track_siren.sps > SpecSampler
SEM_2D892207A85FF1DB,PALETTE_RGBA8,active,5,TintPaletteSampler,"{""A"": ""В проверенной цветовой модуляции художественная роль не установлена."", ""RGB"": ""Tint, умножаемый на diffuse RGB.""}",,"Координата X берётся из Colour0.B, строка — из tintPaletteSelector.",cloth_normal_spec_tnt.sps > TintPaletteSampler | trees_lod_tnt.sps > TintPaletteSampler | trees_normal_diffspec_tnt.sps > TintPaletteSampler | trees_normal_spec_tnt.sps > TintPaletteSampler | trees_tnt.sps > TintPaletteSampler
SEM_2E3EA99A7A846104,LINEAR_RGB_BC1,active,3,SpecSampler,"{""A"": ""Не используется обычным non-detail decoder для weapon spec."", ""B"": ""Не используется обычным decoder для weapon spec."", ""G"": ""Возводимый в квадрат вход falloff/exponent."", ""R"": ""Возводимый в квадрат вход интенсивности direct-spec.""}","I = saturate(Spec.R² · specularIntensityMult) | P = Spec.G²·specularFalloffMult; n = 3·min(P,500) + 558·max(P−500,0) | Q.rgb = Spec.R²·specular2ColorIntensity·specular2Color.rgb·NoH^(Spec.G²·specular2Factor)",,weapon_normal_spec_cutout_palette.sps > SpecSampler | weapon_normal_spec_palette.sps > SpecSampler | weapon_normal_spec_tnt.sps > SpecSampler
SEM_30101C758F4A4D0C,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Вход alpha/opacity поверхности; opaque bucket обычно сам по себе не превращает его в cutout."", ""RGB"": ""Базовый цвет/цвет эмиссии. Освещённое ядро оружия использует цвет после palette/tint-коррекции и возведения RGB в квадрат.""}",,Преобразование raw texture-byte в shader sample происходит вне DXBC и здесь не доказано.,weapon_normal_spec_alpha.sps > DiffuseSampler
SEM_3054A8EA04D6B82F,LINEAR_RGB_BC1,active,1,FoamSampler,"{""A"": ""Не используется."", ""B"": ""Не используется."", ""G"": ""Статическая маска береговой пены."", ""R"": ""Не используется.""}",alpha ≈ saturate(Foam.G × engineBump.R × heightFactor × Colour0.A × engineWet.R),,water_terrainfoam.sps > FoamSampler
SEM_32077C77D80BB001,DIFFUSE_RGBA_AUTO,active,44,DiffuseSampler,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}",alpha_surface = Diffuse.A * Colour0.A * globalAlpha,,cutout_um.sps > DiffuseSampler | decal.sps > DiffuseSampler | decal_diff_only_um.sps > DiffuseSampler | decal_emissive_only.sps > DiffuseSampler | decal_emissivenight_only.sps > DiffuseSampler | decal_glue.sps > DiffuseSampler | decal_normal_spec_um.sps > DiffuseSampler | decal_shadow_only.sps > DiffuseSampler | decal_tnt.sps > DiffuseSampler | default_detail.sps > DiffuseSampler | default_terrain_wet.sps > DiffuseSampler | default_um.sps > DiffuseSampler | normal_cutout_um.sps > DiffuseSampler | normal_decal.sps > DiffuseSampler | normal_decal_pxm.sps > DiffuseSampler | normal_decal_pxm_tnt.sps > DiffuseSampler | normal_decal_tnt.sps > DiffuseSampler | normal_detail.sps > DiffuseSampler | normal_detail_dpm.sps > DiffuseSampler | normal_pxm.sps > DiffuseSampler | normal_pxm_tnt.sps > DiffuseSampler | normal_spec_decal.sps > DiffuseSampler | normal_spec_decal_detail.sps > DiffuseSampler | normal_spec_decal_nopuddle.sps > DiffuseSampler | normal_spec_decal_pxm.sps > DiffuseSampler | normal_spec_decal_tnt.sps > DiffuseSampler | normal_spec_detail.sps > DiffuseSampler | normal_spec_detail_dpm.sps > DiffuseSampler | normal_spec_detail_dpm_tnt.sps > DiffuseSampler | normal_spec_detail_dpm_vertdecal_tnt.sps > DiffuseSampler | normal_spec_detail_tnt.sps > DiffuseSampler | normal_spec_dpm.sps > DiffuseSampler | normal_spec_pxm.sps > DiffuseSampler | normal_spec_pxm_tnt.sps > DiffuseSampler | normal_spec_tnt_pxm.sps > DiffuseSampler | normal_spec_um.sps > DiffuseSampler | normal_spec_wrinkle.sps > DiffuseSampler | normal_terrain_wet.sps > DiffuseSampler | normal_tnt_pxm.sps > DiffuseSampler | normal_um.sps > DiffuseSampler | normal_um_tnt.sps > DiffuseSampler | parallax.sps > DiffuseSampler | parallax_specmap.sps > DiffuseSampler | spec_decal.sps > DiffuseSampler
SEM_32F7442900F7BA7C,NORMAL_XY_AUTO,active,1,FontNormalSampler,"{""BA"": ""Не используются в проверенном plate deferred-пути."", ""RG"": ""XY normal символов, центр 0.5; сила задаётся FontNormalScale.""}","N.xy=(2·RG−1)·scale; N.z=sqrt(|1−dot(N.xy,N.xy)|)",,vehicle_licenseplate.sps > FontNormalSampler
SEM_33A8197AD349F4DA,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Прозрачность/маска cutout; у mirror_decal именно A управляет вкладом отражения."", ""RGB"": ""Базовый цвет/цвет частицы.""}",alpha = Diffuse.A × Colour0.A × globalAlpha,,mirror_decal.sps > DiffuseSampler
SEM_34DDE3C132C653B0,DIFFUSE_RGBA_AUTO,active,2,DiffuseSampler,"{""A"": ""Маска эмиссии; в alpha-capable passes также задаёт непрозрачность поверхности."", ""RGB"": ""Базовый цвет/цвет эмиссии.""}",E = Diffuse.A·emissiveMultiplier·gEmissiveScale·gDayNightEffects·Colour0.B,,normal_spec_reflect_emissivenight.sps > DiffuseSampler | normal_spec_reflect_emissivenight_alpha.sps > DiffuseSampler
SEM_3515587B49B051E7,TODO_SPECIAL_SPEC_BA,active,4,SpecSampler,"{""A"": ""Линейный falloff/exponent input."", ""RGB"": ""Линейно сводится specMapIntMask в scalar intensity; R/G здесь НЕ квадратятся.""}","Ipack = 4·dot(RGB,mask)·SpecInt; P = A·SpecFalloff",,trees_normal_diffspec.sps > SpecSampler | trees_normal_diffspec_tnt.sps > SpecSampler | trees_normal_spec.sps > SpecSampler | trees_normal_spec_tnt.sps > SpecSampler
SEM_36675D1FEDDE4AF6,PALETTE_RGBA8,active,4,TextureSamplerDiffPal,"{""A"": ""Художественная семантика не подтверждена; lookup использует RGB."", ""RGB"": ""Цвет, которым палитра модулирует diffuse.""}",,"Сэмплируется только palette/tint hair FXC; наличие слота в registry не означает, что базовый ped его читает.",ped_default_palette.sps > TextureSamplerDiffPal | ped_hair_cutout_alpha.sps > TextureSamplerDiffPal | ped_hair_spiked.sps > TextureSamplerDiffPal | ped_palette.sps > TextureSamplerDiffPal
SEM_3735A2D94A77DAE6,TODO_SPECIAL_SPEC_BA,active,1,SpecSampler,"{""A"": ""Линейный exponent/falloff; при detail также A_detail."", ""B"": ""Линейный weighted intensity через specMapIntMask.B."", ""G"": ""Квадратится; weighted intensity через specMapIntMask.G; у spec-only ещё blend alpha."", ""R"": ""Квадратится; weighted intensity через specMapIntMask.R.""}","S=(Spec.R^2,Spec.G^2,Spec.B,Spec.A); I=dot(S.rgb,specMapIntMask.xyz)*specularIntensityMult; P=S.a*specularFalloffMult | alpha=(SpecSampler.G)^2",,decal_spec_only.sps > SpecSampler
SEM_39693CAA467C3164,TODO_SPECIAL_SPEC_BA,active,11,SpecSampler,"{""A"": ""Линейный falloff/gloss input, умножается на specularFalloffMult."", ""RGB"": ""Скалярная интенсивность: dot((R²,G²,B), specMapIntMask).""}","I=dot((R²,G²,B),mask)·SpecIntensity·Colour0.R; P=A·SpecFalloff; n=3·min(P,500)+558·max(P−500,0)",,vehicle_badges.sps > SpecSampler | vehicle_basic.sps > SpecSampler | vehicle_cutout.sps > SpecSampler | vehicle_decal2.sps > SpecSampler | vehicle_detail.sps > SpecSampler | vehicle_generic.sps > SpecSampler | vehicle_track.sps > SpecSampler | vehicle_track2.sps > SpecSampler | vehicle_track2_emissive.sps > SpecSampler | vehicle_track_ammo.sps > SpecSampler | vehicle_track_emissive.sps > SpecSampler
SEM_3B0F343B44595192,LINEAR_RGBA_BC3,active,1,DiffuseSampler,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Входит в 1-dot(RGB,AmbientDecalMask).""}","alpha_surface = Diffuse.A * Colour0.A * globalAlpha | blend=saturate(1-dot(Diffuse.rgb,AmbientDecalMask.xyz))*Diffuse.a*Colour0.a*globalAlpha*gAmbientOcclusionEffect.x",,decal_amb_only.sps > DiffuseSampler
SEM_3D5A21DE38BA51EB,LINEAR_R_OR_RG_BC5,active,3,AnisoNoiseSpecSampler,"{""GBA"": ""Не читаются в inspected deferred hair path."", ""R"": ""Возмущает направление прядей и анизотропный блик.""}",,,ped_hair_cutout_alpha.sps > AnisoNoiseSpecSampler | ped_hair_cutout_alpha_cloth.sps > AnisoNoiseSpecSampler | ped_hair_spiked.sps > AnisoNoiseSpecSampler
SEM_3F073454422ED93F,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Альфа поверхности."", ""RGB"": ""Базовый albedo и исходник двух generated-diffspec сигналов; в TNT spec вычисляется до palette tint.""}","L1=dot(Diffuse.RGB,SpecDesaturateIntensity.XYZ); S1=Overlay(L1,SpecDesaturateIntensity.W); L2=dot(Diffuse.RGB,SpecDesaturateExponent.XYZ); S2=Overlay(L2,SpecDesaturateExponent.W); I=dot((S1,S2,0),specMapIntMask)·specularIntensityMult | T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha",,normal_diffspec_tnt.sps > DiffuseSampler
SEM_4179DAB27448A38B,DIFFUSE_RGBA_AUTO,active,11,DiffuseSampler,"{""A"": ""Alpha-test coverage: масштабируется AlphaScale и сравнивается с AlphaTest."", ""RGB"": ""Цвет листвы/коры.""}",clip when Diffuse.A·AlphaScale·globalAlpha < AlphaTest,,trees.sps > DiffuseSampler | trees_lod.sps > DiffuseSampler | trees_lod2.sps > DiffuseSampler | trees_lod_tnt.sps > DiffuseSampler | trees_normal.sps > DiffuseSampler | trees_normal_diffspec.sps > DiffuseSampler | trees_normal_diffspec_tnt.sps > DiffuseSampler | trees_normal_spec.sps > DiffuseSampler | trees_normal_spec_tnt.sps > DiffuseSampler | trees_shadow_proxy.sps > DiffuseSampler | trees_tnt.sps > DiffuseSampler
SEM_42DF859D403112AE,DIFFUSE_RGBA_AUTO,active,4,DiffuseSampler,"{""A"": ""Surface opacity: decal blend или cutout; в detail-diffspec дополнительно A_detail."", ""RGB"": ""Albedo. В diffspec также источник I/P; у specialised decal может быть маской, а не выводимым цветом.""}","I=overlay(dot(Diffuse.rgb,SpecDesaturateIntensity.xyz),SpecDesaturateIntensity.w)*specularIntensityMult; P=overlay(dot(Diffuse.rgb,SpecDesaturateExponent.xyz),SpecDesaturateExponent.w) | alpha_surface = Diffuse.A * Colour0.A * globalAlpha",,normal_diffspec_detail.sps > DiffuseSampler | normal_diffspec_detail_dpm.sps > DiffuseSampler | normal_diffspec_detail_dpm_tnt.sps > DiffuseSampler | normal_diffspec_detail_tnt.sps > DiffuseSampler
SEM_44A8211FFB386091,DIFFUSE_RGBA_AUTO,active,10,DiffuseSampler,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}","T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha",,cutout_spec_tnt.sps > DiffuseSampler | cutout_tnt.sps > DiffuseSampler | default_tnt.sps > DiffuseSampler | normal_cutout_tnt.sps > DiffuseSampler | normal_spec_cutout_tnt.sps > DiffuseSampler | normal_spec_tnt.sps > DiffuseSampler | normal_tnt.sps > DiffuseSampler | normal_tnt_alpha.sps > DiffuseSampler | spec_tnt.sps > DiffuseSampler | spec_twiddle_tnt.sps > DiffuseSampler
SEM_4B4A57B8D59EECB6,LINEAR_RGBA_BC3,active,11,SpecSampler,"{""A"": ""Линейный вход falloff/exponent."", ""B"": ""Линейный член интенсивности с весом specMapIntMask.B."", ""G"": ""Квадратичный член интенсивности с весом specMapIntMask.G."", ""R"": ""Квадратичный член интенсивности с весом specMapIntMask.R.""}","I = saturate(dot((R²,G²,B), specMapIntMask)·specularIntensityMult); P = A·specularFalloffMult","Параметр управляет отдельным скалярным белым прямым бликом, а не цветом или размытием EnvironmentSampler.",glass_normal_spec_reflect.sps > SpecSampler | normal_spec_cubemap_reflect.sps > SpecSampler | normal_spec_reflect.sps > SpecSampler | normal_spec_reflect_alpha.sps > SpecSampler | normal_spec_reflect_decal.sps > SpecSampler | normal_spec_reflect_emissivenight.sps > SpecSampler | normal_spec_reflect_emissivenight_alpha.sps > SpecSampler | spec_reflect.sps > SpecSampler | spec_reflect_alpha.sps > SpecSampler | spec_reflect_decal.sps > SpecSampler | weapon_normal_spec_alpha.sps > SpecSampler
SEM_50EA89D49878934A,LINEAR_RGB_BC1,active,1,perlinSampler,"{""A"": ""Генерируется как 0 в исследованном update path."", ""B"": ""Перенормированный исходный шум."", ""G"": ""Смещённая плотность."", ""R"": ""Пороговая плотность облака.""}",,,sky_system.sps > perlinSampler
SEM_52E1A0902668FB02,PALETTE_RGBA8,active,3,TextureSamplerDiffPal,"{""A"": ""В проверенной palette-ветви стабильная artist-facing роль не установлена."", ""RGB"": ""Множитель, выбранный кодом Diffuse.A и строкой paletteSelector.""}","code=floor(Diffuse.A·255.01); u=(code−32)/128; pal=DiffPal(u,paletteSelector)",,weapon_normal_spec_cutout_palette.sps > TextureSamplerDiffPal | weapon_normal_spec_detail_palette.sps > TextureSamplerDiffPal | weapon_normal_spec_palette.sps > TextureSamplerDiffPal
SEM_54AD86BAB78C04FC,NORMAL_XY_AUTO,active,18,BumpSampler,"{""A"": ""Не читается при восстановлении нормали."", ""B"": ""Не читается при восстановлении нормали."", ""RG"": ""XY нормали в касательном пространстве: (2·RG−1)·max(bumpiness,0.001).""}","Nxy = (2·Bump.RG − 1) · max(bumpiness, 0.001)",,glass_normal_spec_reflect.sps > BumpSampler | normal_cubemap_reflect.sps > BumpSampler | normal_reflect.sps > BumpSampler | normal_reflect_alpha.sps > BumpSampler | normal_reflect_decal.sps > BumpSampler | normal_reflect_screendooralpha.sps > BumpSampler | normal_spec_cubemap_reflect.sps > BumpSampler | normal_spec_reflect.sps > BumpSampler | normal_spec_reflect_alpha.sps > BumpSampler | normal_spec_reflect_decal.sps > BumpSampler | normal_spec_reflect_emissivenight.sps > BumpSampler | normal_spec_reflect_emissivenight_alpha.sps > BumpSampler | weapon_normal_spec_alpha.sps > BumpSampler | weapon_normal_spec_cutout_palette.sps > BumpSampler | weapon_normal_spec_detail_palette.sps > BumpSampler | weapon_normal_spec_detail_tnt.sps > BumpSampler | weapon_normal_spec_palette.sps > BumpSampler | weapon_normal_spec_tnt.sps > BumpSampler
SEM_55CA30E417FD7662,PALETTE_RGBA8,active,14,TintPaletteSampler,"{""A"": ""Сэмплируется в float4, но отдельное художественное использование A в этом path не доказано."", ""RGB"": ""Множитель albedo после point/clamp palette lookup.""}","Tint=TintPaletteSampler(float2(Colour0.B,tintPaletteSelector.X)); Albedo.rgb*=Tint.rgb",,decal_tnt.sps > TintPaletteSampler | normal_decal_pxm_tnt.sps > TintPaletteSampler | normal_decal_tnt.sps > TintPaletteSampler | normal_diffspec_detail_dpm_tnt.sps > TintPaletteSampler | normal_diffspec_detail_tnt.sps > TintPaletteSampler | normal_pxm_tnt.sps > TintPaletteSampler | normal_spec_decal_tnt.sps > TintPaletteSampler | normal_spec_detail_dpm_tnt.sps > TintPaletteSampler | normal_spec_detail_dpm_vertdecal_tnt.sps > TintPaletteSampler | normal_spec_detail_tnt.sps > TintPaletteSampler | normal_spec_pxm_tnt.sps > TintPaletteSampler | normal_spec_tnt_pxm.sps > TintPaletteSampler | normal_tnt_pxm.sps > TintPaletteSampler | normal_um_tnt.sps > TintPaletteSampler
SEM_5676B87B00907E27,COLOR_RGB_BC1,active,1,StarFieldSampler,"{""A"": ""Отдельно не используется."", ""RGB"": ""Цвет звёзд; примерно saturate(RGB×2−0.1)×starfieldIntensity.""}",stars=saturate(StarField.RGB×2−0.1)×starfieldIntensity,,sky_system.sps > StarFieldSampler
SEM_5882847584F3EEED,PALETTE_RGBA8,active,11,TintPaletteSampler,"{""A"": ""В проверенном основном deferred lit-пути не используется."", ""RGB"": ""Палитровый RGB-множитель albedo.""}","T=TintPaletteSampler(Colour0.B,tintPaletteSelector.X); albedo=DiffuseSampler.RGB×T.RGB",Координаты формируются из Colour0.B и tintPaletteSelector.X; это не обычная UV-текстура.,cutout_spec_tnt.sps > TintPaletteSampler | cutout_tnt.sps > TintPaletteSampler | default_tnt.sps > TintPaletteSampler | normal_cutout_tnt.sps > TintPaletteSampler | normal_diffspec_tnt.sps > TintPaletteSampler | normal_spec_cutout_tnt.sps > TintPaletteSampler | normal_spec_tnt.sps > TintPaletteSampler | normal_tnt.sps > TintPaletteSampler | normal_tnt_alpha.sps > TintPaletteSampler | spec_tnt.sps > TintPaletteSampler | spec_twiddle_tnt.sps > TintPaletteSampler
